"Name","train/avg_loss_AVG","train/max_loss_MAX","eval/ppl//fsx-onellm/data/corpora/text_only/text_eval/c4.jsonl","eval/ppl//fsx-onellm/data/corpora/text_only/text_eval/wikipedia.jsonl","Created","Runtime","Notes","State","Updated","Tags","optim.lr","torch_seed","valid.seed","model.moe_ec","model.moe_ec_k","model.moe_everyk","model.moe_load_balance","model.moe_samplek","model.moe_topk","model.moe_topk_k","model.number_of_experts","model.n_layers","model.n_heads","model.spm_model","model.spm_moe_matmul","model.spm_tau","model.switch_transformer","batch_size","steps","optim/n_tokens","train/step","train/wps"
"moe_bsz1M.ngpu16_20240225-093130.model-50m.moe-spm.lr_1e-3,number_of_experts_4","3.337165594100952","3.566720485687256","32.250248948908364","28.389589484808223","2024-02-25T09:48:28.000Z","633","-","failed","2024-02-26T19:07:00.000Z","a=spm, experts=4","0.001","0","42","false","2","4","0","false","false","2","4","10","10","true","false","1","false","32","1000","1048576000","1000","118554.58315926231"
"moe_bsz1M.ngpu16_20240225-093130.model-50m.moe-spm.lr_8e-3,number_of_experts_4","4.30332088470459","4.510406970977783","79.84088449889188","90.35848334401628","2024-02-25T09:39:26.000Z","633","-","failed","2024-02-26T19:07:43.000Z","a=spm, experts=4","0.008","0","42","false","2","4","0","false","false","2","4","10","10","true","false","1","false","32","1000","1048576000","1000","117304.73675502288"
"moe_bsz1M.ngpu16_20240225-093130.model-50m.moe-spm.lr_2e-3,number_of_experts_4","3.276972770690918","3.50862455368042","30.7024418715315","25.940636442587103","2024-02-25T09:53:10.000Z","641","-","failed","2024-02-26T19:07:00.000Z","a=spm, experts=4","0.002","0","42","false","2","4","0","false","false","2","4","10","10","true","false","1","false","32","1000","1048576000","1000","117033.3682084862"
"moe_bsz1M.ngpu16_20240225-093130.model-50m.moe-spm.lr_4e-4,number_of_experts_4","3.7800917625427246","3.97979187965393","47.95229573716886","55.43810743697554","2024-02-25T09:38:44.000Z","646","-","failed","2024-02-26T19:07:43.000Z","a=spm, experts=4","0.0004","0","42","false","2","4","0","false","false","2","4","10","10","true","false","1","false","32","1000","1048576000","1000","117568.21098452"
"moe_bsz1M.ngpu16_20240225-093130.model-50m.moe-spm.lr_4e-3,number_of_experts_16","3.306323766708374","3.535172939300537","31.654685734733985","27.830517425899767","2024-02-25T10:05:13.000Z","850","-","failed","2024-02-26T19:06:40.000Z","a=spm, experts=16","0.004","0","42","false","2","4","0","false","false","2","16","10","10","true","false","1","false","32","1000","1048576000","1000","87875.25327742085"
"moe_bsz1M.ngpu16_20240225-093130.model-50m.moe-spm.lr_8e-3,number_of_experts_16","4.102768898010254","4.285139560699463","67.32896178981392","74.34604278092495","2024-02-25T09:42:22.000Z","852","-","failed","2024-02-26T19:07:43.000Z","a=spm, experts=16","0.008","0","42","false","2","4","0","false","false","2","16","10","10","true","false","1","false","32","1000","1048576000","1000","88560.21205439734"
"moe_bsz1M.ngpu16_20240225-093130.model-50m.moe-spm.lr_2e-3,number_of_experts_16","3.251591444015503","3.4817941188812256","29.692025217394516","25.336049908863743","2024-02-25T10:00:46.000Z","856","-","failed","2024-02-26T19:06:40.000Z","a=spm, experts=16","0.002","0","42","false","2","4","0","false","false","2","16","10","10","true","false","1","false","32","1000","1048576000","1000","87518.35099048597"
"moe_bsz1M.ngpu16_20240225-093130.model-50m.moe-spm.lr_4e-4,number_of_experts_16","3.7332611083984375","3.9291815757751465","45.67077959913127","50.94864377174755","2024-02-25T10:04:43.000Z","860","-","failed","2024-02-26T19:07:43.000Z","a=spm, experts=16","0.0004","0","42","false","2","4","0","false","false","2","16","10","10","true","false","1","false","32","1000","1048576000","1000","87750.86273525559"
"moe_bsz1M.ngpu16_20240225-093130.model-50m.moe-spm.lr_1e-3,number_of_experts_16","3.3089945316314697","3.5357136726379395","31.09678654810422","27.45608997323962","2024-02-25T09:54:23.000Z","864","-","failed","2024-02-26T19:06:40.000Z","a=spm, experts=16","0.001","0","42","false","2","4","0","false","false","2","16","10","10","true","false","1","false","32","1000","1048576000","1000","86855.910478594"
"moe_bsz1M.ngpu16_20240225-093130.model-50m.moe-spm.lr_4e-3,number_of_experts_64","3.273099660873413","3.5052480697631836","30.640221043362533","25.87789198337821","2024-02-25T10:09:44.000Z","1684","-","failed","2024-02-26T19:06:24.000Z","a=spm, experts=64","0.004","0","42","false","2","4","0","false","false","2","64","10","10","true","false","1","false","32","1000","1048576000","1000","43929.04129816863"
