loss,C4 Eval Loss,N,N_no_emb,D,C,C_no_emb,C_6ND,C_6ND_no_emb,portion_steps_elapsed,model,train_tokens,total_steps,current_steps,total_epochs,current_epoch,peak_lr,sweep
3.836628066841513,3.836628066841513,62052928,16865856,1572864000,585604899280257024,159166186395009024,585604899274752000,159166186389504000,1.0,misfitting_17m,1572864000,1500,1500,12,12,0.004,2024_11_10-23_08_29_sweep_test
4.004743275232613,4.004743275232613,62052928,16865856,1310720000,488004082734465024,132638488663425024,488004082728960000,132638488657920000,1.0,misfitting_17m,1310720000,1250,1250,10,10,0.002,2024_11_10-23_08_29_sweep_test
4.563565105199814,4.563565105199814,62052928,16865856,524288000,195201633097089024,53055395468673024,195201633091584000,53055395463168000,1.0,misfitting_17m,524288000,500,500,1,1,0.004,2024_11_10-23_08_29_sweep_test
5.601835574954748,5.601835574954748,62052928,16865856,209715200,78080653242138624,21222158190772224,78080653236633600,21222158185267200,1.0,misfitting_17m,209715200,200,200,2,2,0.004,2024_11_10-23_08_29_sweep_test
4.0099402642808855,4.0099402642808855,62052928,16865856,1048576000,390403266188673024,106110790931841024,390403266183168000,106110790926336000,1.0,misfitting_17m,1048576000,1000,1000,8,8,0.008,2024_11_10-23_08_29_sweep_test
3.90478907385841,3.90478907385841,62052928,16865856,1310720000,488004082734465024,132638488663425024,488004082728960000,132638488657920000,1.0,misfitting_17m,1310720000,1250,1250,2,2,0.008,2024_11_10-23_08_29_sweep_test
4.007070607505739,4.007070607505739,62052928,16865856,1048576000,390403266188673024,106110790931841024,390403266183168000,106110790926336000,1.0,misfitting_17m,1048576000,1000,1000,2,2,0.008,2024_11_10-23_08_29_sweep_test
5.308719697408378,5.308719697408378,62052928,16865856,262144000,97600816551297024,26527697737089024,97600816545792000,26527697731584000,1.0,misfitting_17m,262144000,250,250,1,1,0.008,2024_11_10-23_08_29_sweep_test
5.601835574954748,5.601835574954748,62052928,16865856,209715200,78080653242138624,21222158190772224,78080653236633600,21222158185267200,1.0,misfitting_17m,209715200,200,200,2,2,0.002,2024_11_10-23_08_29_sweep_test
5.354489612393081,5.354489612393081,62052928,16865856,262144000,97600816551297024,26527697737089024,97600816545792000,26527697731584000,1.0,misfitting_17m,262144000,250,250,1,1,0.002,2024_11_10-23_08_29_sweep_test
